NO,LB,LT,KT,KM,GRS,HARGA_JUTA
945,250,162,4,4,2,5700
946,550,485,4,3,2,26000
947,90,160,5,4,1,3000
948,385,380,5,4,2,9500
949,160,110,3,3,2,3750
950,150,340,6,4,0,3600
951,170,89,3,3,1,6500
952,300,325,5,4,2,7500
953,120,60,3,4,1,2500
954,200,130,5,4,1,3900
955,450,310,5,5,1,16000
956,300,538,5,5,0,18000
957,330,360,7,7,0,18500
958,200,130,4,3,2,3999
959,170,141,4,3,1,5800
960,170,100,5,3,2,3900
961,180,103,3,3,2,3100
962,150,139,3,3,1,3000
963,440,393,6,6,6,14000
964,352,394,6,4,2,13500
965,200,135,4,3,2,4000
966,120,90,3,2,2,3500
967,300,180,5,4,2,4300
968,180,154,4,3,2,3900
969,800,361,5,5,5,19000
970,210,91,5,4,1,2750
971,175,134,5,2,1,2900
972,500,345,8,5,4,9500
973,700,987,4,4,4,23000
974,700,547,4,4,7,21000
975,150,90,3,2,0,2600
976,200,220,7,3,1,4000
977,700,650,3,3,2,22900
978,180,105,5,4,1,4000
979,137,86,4,2,1,3200
980,160,93,4,4,1,2600
981,250,180,4,3,1,6300
982,160,110,3,3,1,3400
983,200,90,4,3,1,3250
984,150,95,4,4,1,3000
985,180,155,4,3,1,4100
986,130,160,4,1,2,6500
987,90,100,2,1,0,1800
988,150,135,4,3,1,3500
989,100,126,2,2,1,2100
990,200,125,2,2,1,3000
991,128,135,3,2,1,2150
992,200,90,3,2,2,3000
993,120,104,4,3,1,3250
994,85,90,2,1,1,1750
995,200,170,7,2,0,1500
996,200,145,8,8,1,3800
997,120,100,3,2,1,2500
998,250,206,5,4,1,4200
999,70,70,2,1,0,1100
1000,100,60,3,1,0,950
1001,128,90,3,3,1,4500
1002,150,110,4,3,1,7000
1003,60,30,2,2,0,600
1004,100,140,3,2,1,2600
1005,450,550,10,10,3,9000
1006,160,140,4,3,2,4000
1007,139,230,4,4,1,4000
1008,360,606,7,4,0,19000
1009,420,430,7,4,2,10500
